label	anatomy	material	source	original-label	"chi "
0	background	air	None	0	"0.35"
1	body	water	-air_tissue.nii.gz	1	"-9.05"
2	sinus	air	-air_tissue.nii.gz	2	"0.35"
3	ear canal	air	-air_tissue.nii.gz	3	"0.35"
4	trachea	trachea	-air_tissue.nii.gz	4	"0.2"
5	lung left	lung	-air_tissue.nii.gz	5	"0.2"
6	lung right	lung	-air_tissue.nii.gz	6	"0.2"
56	"Left-Cerebral-White-Matter "	brain	-brain_dseg.nii.gz	2	"-9.04"
56	"Left-Cerebral-Cortex "	brain	-brain_dseg.nii.gz	3	"-9.04"
56	"Left-Lateral-Ventricle "	brain	-brain_dseg.nii.gz	4	"-9.04"
56	Left-Inf-Lat-Vent	brain	-brain_dseg.nii.gz	5	"-9.04"
56	Left-Cerebellum-White-Matter	brain	-brain_dseg.nii.gz	7	"-9.04"
56	Left-Cerebellum-Cortex	brain	-brain_dseg.nii.gz	8	"-9.04"
56	Left-Thalamus-Proper	brain	-brain_dseg.nii.gz	10	"-9.04"
56	Left-Caudate	brain	-brain_dseg.nii.gz	11	"-9.04"
56	Left-Putamen	brain	-brain_dseg.nii.gz	12	"-9.04"
56	Left-Pallidum	brain	-brain_dseg.nii.gz	13	"-9.04"
56	"3rd-Ventricle "	brain	-brain_dseg.nii.gz	14	"-9.04"
56	4th-Ventricle	brain	-brain_dseg.nii.gz	15	"-9.04"
56	Brain-Stem	brain	-brain_dseg.nii.gz	16	"-9.04"
56	Left-Hippocampus	brain	-brain_dseg.nii.gz	17	"-9.04"
56	Left-Amygdala	brain	-brain_dseg.nii.gz	18	"-9.04"
56	"CSF "	brain	-brain_dseg.nii.gz	24	"-9.04"
56	Left-Accumbens-area	brain	-brain_dseg.nii.gz	26	"-9.04"
56	Left-VentralDC	brain	-brain_dseg.nii.gz	28	"-9.04"
56	Left-vessel	brain	-brain_dseg.nii.gz	30	"-9.04"
56	Left-choroid-plexus	brain	-brain_dseg.nii.gz	31	"-9.04"
56	Right-Cerebral-White-Matter	brain	-brain_dseg.nii.gz	41	"-9.04"
56	"Right-Cerebral-Cortex "	brain	-brain_dseg.nii.gz	42	"-9.04"
56	Right-Lateral-Ventricle	brain	-brain_dseg.nii.gz	43	"-9.04"
56	Right-Inf-Lat-Vent	brain	-brain_dseg.nii.gz	44	"-9.04"
56	Right-Cerebellum-White-Matter	brain	-brain_dseg.nii.gz	46	"-9.04"
56	"Right-Cerebellum-Cortex "	brain	-brain_dseg.nii.gz	47	"-9.04"
56	Right-Thalamus-Proper	brain	-brain_dseg.nii.gz	49	"-9.04"
56	Right-Caudate	brain	-brain_dseg.nii.gz	50	"-9.04"
56	Right-Putamen	brain	-brain_dseg.nii.gz	51	"-9.04"
56	Right-Pallidum	brain	-brain_dseg.nii.gz	52	"-9.04"
56	Right-Hippocampus	brain	-brain_dseg.nii.gz	53	"-9.04"
56	Right-Amygdala	brain	-brain_dseg.nii.gz	54	"-9.04"
56	Right-Accumbens-area	brain	-brain_dseg.nii.gz	58	"-9.04"
56	Right-VentralDC	brain	-brain_dseg.nii.gz	60	"-9.04"
56	Right-vessel	brain	-brain_dseg.nii.gz	62	"-9.04"
56	Right-choroid-plexus	brain	-brain_dseg.nii.gz	63	"-9.04"
56	"WM-hypointensities "	brain	-brain_dseg.nii.gz	77	"-9.04"
56	non-WM-hypointensities	brain	-brain_dseg.nii.gz	80	"-9.04"
56	Optic-Chiasm	brain	-brain_dseg.nii.gz	85	"-9.04"
1	Head-ExtraCerebral	bone	-brain_dseg.nii.gz	258	"-11.5"
1	SkullApprox	bone	-brain_dseg.nii.gz	259	"-11.5"
92	Spine-misc-1	bone	-spine_dseg.nii.gz	19	"-11.5"
92	Spine-misc-2	bone	-spine_dseg.nii.gz	20	"-11.5"
92	Spine-misc-3	bone	-spine_dseg.nii.gz	21	"-11.5"
92	Spine-misc-4	bone	-spine_dseg.nii.gz	22	"-11.5"
92	Spine-misc-5	bone	-spine_dseg.nii.gz	23	"-11.5"
92	Spine-misc-6	bone	-spine_dseg.nii.gz	24	"-11.5"
92	Spine-misc-7	bone	-spine_dseg.nii.gz	25	"-11.5"
92	Spine-misc-8	bone	-spine_dseg.nii.gz	26	"-11.5"
92	Spine-misc-9	bone	-spine_dseg.nii.gz	27	"-11.5"
92	Spine-misc-10	bone	-spine_dseg.nii.gz	28	"-11.5"
92	Spine-misc-11	bone	-spine_dseg.nii.gz	29	"-11.5"
92	Spine-misc-12	bone	-spine_dseg.nii.gz	30	"-11.5"
92	Spine-misc-13	bone	-spine_dseg.nii.gz	31	"-11.5"
92	Spine-misc-14	bone	-spine_dseg.nii.gz	32	"-11.5"
92	Spine-misc-15	bone	-spine_dseg.nii.gz	33	"-11.5"
92	Spine-misc-16	bone	-spine_dseg.nii.gz	34	"-11.5"
92	Spine-misc-17	bone	-spine_dseg.nii.gz	35	"-11.5"
92	Spine-misc-18	bone	-spine_dseg.nii.gz	36	"-11.5"
92	Spine-misc-19	bone	-spine_dseg.nii.gz	37	"-11.5"
92	Spine-misc-20	bone	-spine_dseg.nii.gz	38	"-11.5"
92	Spine-misc-21	bone	-spine_dseg.nii.gz	39	"-11.5"
92	Spine-misc-22	bone	-spine_dseg.nii.gz	40	"-11.5"
92	Spine-misc-23	bone	-spine_dseg.nii.gz	41	"-11.5"
92	Spine-misc-24	bone	-spine_dseg.nii.gz	204	"-11.5"
92	Spine-misc-25	bone	-spine_dseg.nii.gz	205	"-11.5"
92	Spine-misc-26	bone	-spine_dseg.nii.gz	206	"-11.5"
92	Spine-misc-27	bone	-spine_dseg.nii.gz	207	"-11.5"
92	Spine-misc-28	bone	-spine_dseg.nii.gz	208	"-11.5"
92	Spine-misc-29	bone	-spine_dseg.nii.gz	209	"-11.5"
92	Spine-misc-30	bone	-spine_dseg.nii.gz	210	"-11.5"
92	Spine-misc-31	bone	-spine_dseg.nii.gz	211	"-11.5"
92	Spine-misc-32	bone	-spine_dseg.nii.gz	212	"-11.5"
92	Spine-misc-33	bone	-spine_dseg.nii.gz	213	"-11.5"
92	Spine-misc-34	bone	-spine_dseg.nii.gz	214	"-11.5"
92	Spine-misc-35	bone	-spine_dseg.nii.gz	215	"-11.5"
92	Spine-misc-36	bone	-spine_dseg.nii.gz	216	"-11.5"
92	Spine-misc-37	bone	-spine_dseg.nii.gz	217	"-11.5"
92	Spine-misc-38	bone	-spine_dseg.nii.gz	218	"-11.5"
92	Spine-misc-39	bone	-spine_dseg.nii.gz	219	"-11.5"
92	Spine-misc-40	bone	-spine_dseg.nii.gz	220	"-11.5"
92	Spine-misc-41	bone	-spine_dseg.nii.gz	221	"-11.5"
92	Spine-misc-42	bone	-spine_dseg.nii.gz	222	"-11.5"
92	Spine-misc-43	bone	-spine_dseg.nii.gz	223	"-11.5"
92	Spine-misc-44	bone	-spine_dseg.nii.gz	224	"-11.5"
100	spinal canal	spinal canal	-canal_seg.nii.gz	1	"-9.055"
91	skull	bone	-skull.nii.gz	1	"-11.5"
60	eyes	water	-eyes.nii.gz	1	"-9.05"
